date,open,high,low,close,volume,fear_greed,vix,sentiment
2006-06-04,1.29251,1.29766,1.29001,1.29011,0,60.3,18.0,0.0
2006-06-05,1.29001,1.29319,1.2811,1.2822,0,61.0,16.65,-0.1
2006-06-06,1.28215,1.2837,1.2767,1.2802,0,60.5,17.34,-9.7
2006-06-07,1.2802,1.2809,1.2632,1.26489,0,59.1,17.8,-19.4
2006-06-08,1.26489,1.2681,1.2606,1.26409,0,58.9,18.35,-20.3
2006-06-11,1.26154,1.26489,1.2572,1.25861,0,58.7,18.35,-22.0
2006-06-12,1.2587,1.26119,1.2534,1.25459,0,56.5,20.96,-35.2
2006-06-13,1.25459,1.26409,1.25411,1.26091,0,55.0,23.81,-31.8
2006-06-14,1.261,1.26489,1.2593,1.264,0,57.2,21.46,-8.8
2006-06-15,1.26395,1.2672,1.2622,1.26449,0,61.6,15.9,4.4
2006-06-18,1.26381,1.2644,1.25565,1.258,0,61.1,15.9,-22.4
2006-06-19,1.258,1.26161,1.2545,1.25891,0,59.7,17.83,-24.1
2006-06-20,1.259,1.2678,1.259,1.2661,0,61.3,16.69,-5.4
2006-06-21,1.2661,1.26789,1.2557,1.25849,0,61.5,15.52,0.1
2006-06-22,1.2584,1.2588,1.2486,1.2524,0,53.1,15.88,-9.8
2006-06-25,1.25091,1.25991,1.2507,1.25891,0,56.6,15.88,0.2
2006-06-26,1.25919,1.26189,1.25671,1.2569,0,56.6,15.62,2.7
2006-06-27,1.25701,1.25861,1.25221,1.25459,0,58.1,16.4,-7.6
2006-06-28,1.25459,1.26699,1.2523,1.2664,0,62.8,15.79,4.1
2006-06-29,1.2663,1.27949,1.266,1.2783,0,69.3,13.03,20.9
2006-07-02,1.2789,1.2821,1.2765,1.2801,0,70.7,13.03,15.8
2006-07-03,1.2801,1.2822,1.2782,1.279,0,69.3,13.05,14.3
2006-07-04,1.2792,1.28365,1.2711,1.2734,0,66.8,13.05,5.2
2006-07-05,1.27335,1.2783,1.2723,1.2776,0,66.9,14.15,9.3
2006-07-06,1.27769,1.2854,1.27689,1.2824,0,70.1,13.65,23.6
2006-07-09,1.2809,1.28139,1.2726,1.2745,0,67.3,13.65,11.1
2006-07-10,1.27431,1.27791,1.271,1.27675,0,66.4,14.02,12.7
2006-07-11,1.27689,1.27774,1.26825,1.2712,0,67.0,13.14,15.4
2006-07-12,1.2715,1.27299,1.26711,1.2697,0,66.9,14.49,-3.1
2006-07-13,1.26979,1.26979,1.26299,1.2644,0,61.3,17.79,-23.0
2006-07-16,1.2639,1.26409,1.25139,1.2518,0,58.0,17.79,-19.9
2006-07-17,1.25189,1.2557,1.24855,1.2502,0,57.4,18.64,-23.7
2006-07-18,1.2502,1.2608,1.2466,1.25991,0,58.6,17.74,-5.9
2006-07-19,1.26,1.26529,1.25919,1.2633,0,58.6,15.55,-1.3
2006-07-20,1.2635,1.2707,1.2632,1.2706,0,60.1,16.21,-10.9
2006-07-23,1.2707,1.2707,1.2614,1.2624,0,58.2,16.21,-8.5
2006-07-24,1.26224,1.26699,1.25671,1.2584,0,59.0,14.98,-8.0
2006-07-25,1.2584,1.27251,1.25641,1.27129,0,62.1,14.85,0.6
2006-07-26,1.2712,1.27689,1.2686,1.2696,0,60.9,14.62,0.9
2006-07-27,1.2695,1.27699,1.2663,1.2751,0,63.6,14.94,6.3
2006-07-30,1.2765,1.2782,1.2746,1.2774,0,63.8,14.94,18.4
2006-07-31,1.2774,1.2831,1.2723,1.282,0,66.1,14.95,22.9
2006-08-01,1.28185,1.2835,1.2782,1.2792,0,65.4,15.05,13.4
2006-08-02,1.27915,1.2831,1.2747,1.2799,0,67.3,14.34,14.7
2006-08-03,1.28,1.29091,1.278,1.2879,0,72.4,14.46,11.8
2006-08-06,1.28839,1.28941,1.2811,1.2819,0,70.5,14.46,13.9
2006-08-07,1.2819,1.28849,1.27791,1.2767,0,66.7,15.23,10.0
2006-08-08,1.2773,1.29001,1.2773,1.2875,0,68.7,15.23,11.5
2006-08-09,1.28725,1.29101,1.2753,1.2793,0,65.0,15.2,7.0
2006-08-10,1.2792,1.2801,1.2721,1.27251,0,65.3,14.46,1.1
2006-08-13,1.2734,1.27619,1.27129,1.2723,0,66.1,14.46,-3.6
2006-08-14,1.2722,1.2803,1.2711,1.2791,0,65.8,14.26,-1.2
2006-08-15,1.2789,1.28641,1.2775,1.28431,0,68.3,13.42,7.0
2006-08-16,1.28421,1.28869,1.28149,1.2832,0,67.7,12.41,6.4
2006-08-17,1.28301,1.28446,1.27845,1.28281,0,67.2,12.24,-2.9
2006-08-20,1.28389,1.29369,1.2836,1.2873,0,67.6,12.24,3.8
2006-08-21,1.2872,1.28829,1.27876,1.2812,0,66.2,12.22,3.3
2006-08-22,1.2812,1.28465,1.278,1.2781,0,65.1,12.19,-6.4
2006-08-23,1.2784,1.28389,1.27561,1.27619,0,62.5,12.4,-3.0
2006-08-24,1.27619,1.2783,1.2733,1.27571,0,63.6,12.4,2.3
2006-08-27,1.2761,1.2819,1.27571,1.27925,0,66.1,12.4,4.9
2006-08-28,1.27934,1.28389,1.2753,1.28291,0,64.6,12.18,3.6
2006-08-29,1.28291,1.2849,1.28139,1.28409,0,67.5,12.28,-0.6
2006-08-30,1.28394,1.2878,1.279,1.2809,0,68.7,12.22,-1.4
2006-08-31,1.2809,1.28451,1.276,1.2836,0,69.7,12.31,0.2
2006-09-03,1.2853,1.2876,1.28431,1.28569,0,68.5,12.31,-1.1
2006-09-04,1.28569,1.2865,1.28,1.2824,0,64.9,12.31,0.8
2006-09-05,1.2823,1.2832,1.2774,1.2819,0,64.8,12.63,1.4
2006-09-06,1.2821,1.28301,1.27105,1.2732,0,60.5,13.74,-6.5
2006-09-07,1.27311,1.2739,1.266,1.2673,0,56.6,13.88,-6.5
2006-09-10,1.2673,1.27359,1.26541,1.271,0,59.9,13.88,-5.8
2006-09-11,1.27079,1.27311,1.26784,1.2695,0,60.9,12.99,-5.8
2006-09-12,1.2691,1.27129,1.26711,1.2697,0,62.3,11.92,-5.8
2006-09-13,1.2697,1.27515,1.26789,1.2723,0,63.8,11.18,-3.1
2006-09-14,1.2723,1.27371,1.26365,1.2651,0,59.7,11.55,-14.4
2006-09-17,1.2643,1.2711,1.2635,1.2707,0,61.1,11.55,-10.5
2006-09-18,1.27091,1.2727,1.26529,1.2677,0,59.7,11.78,-11.2
2006-09-19,1.26789,1.2721,1.2668,1.26879,0,60.9,11.98,-10.0
2006-09-20,1.2687,1.28,1.26855,1.2781,0,64.0,11.39,5.8
2006-09-21,1.2782,1.28301,1.27769,1.28,0,64.0,12.25,5.6
2006-09-24,1.2793,1.282,1.27359,1.2745,0,62.9,12.25,2.5
2006-09-25,1.27489,1.27619,1.2667,1.2687,0,61.4,12.12,-0.1
2006-09-26,1.26879,1.27141,1.26751,1.2706,0,64.1,11.53,3.0
2006-09-27,1.2707,1.2733,1.26841,1.27036,0,65.7,11.58,-1.6
2006-09-28,1.27065,1.2715,1.2644,1.26621,0,63.0,11.72,0.2
2006-10-01,1.26801,1.2759,1.2665,1.27419,0,66.4,11.72,2.5
2006-10-02,1.27419,1.2766,1.2722,1.2735,0,65.7,12.57,0.7
2006-10-03,1.27359,1.2739,1.2672,1.27129,0,64.5,12.24,3.1
2006-10-04,1.2715,1.27251,1.26765,1.26955,0,66.0,11.86,-4.5
2006-10-05,1.2696,1.2697,1.2577,1.2604,0,61.1,11.98,-14.3
2006-10-08,1.2591,1.2614,1.2588,1.2601,0,61.7,11.98,-10.2
2006-10-09,1.2601,1.26126,1.2524,1.2532,0,59.2,11.68,-9.8
2006-10-10,1.2532,1.2557,1.25059,1.2524,0,55.4,11.52,-12.3
2006-10-11,1.25251,1.25671,1.25189,1.256,0,56.5,11.62,-10.6
2006-10-12,1.25611,1.25789,1.2488,1.2505,0,56.0,11.09,-9.0
2006-10-15,1.2505,1.2543,1.2492,1.25411,0,58.9,11.09,-14.2
