date,open,high,low,close,volume,fear_greed,vix,sentiment
2006-06-05,5764.6001,5789.7998,5738.8999,5762.1001,1072108200,61.4,16.65,0.0
2006-06-06,5762.1001,5762.1001,5656.6001,5669.7998,1883561800,59.9,17.34,-17.2
2006-06-07,5669.7998,5720.6001,5638.5,5706.2998,1885561100,60.3,17.8,-10.6
2006-06-08,5706.2998,5706.2998,5562.8999,5562.8999,2135136100,57.7,18.35,-33.3
2006-06-09,5562.8999,5673.6001,5562.8999,5655.2002,1801661400,59.9,18.12,-15.8
2006-06-12,5655.2002,5666.2998,5612.2998,5620.8999,1463611100,57.1,20.96,-33.4
2006-06-13,5620.8999,5620.8999,5467.3999,5519.6001,2146786900,53.2,23.81,-49.3
2006-06-14,5519.6001,5544.3999,5475.6001,5506.7998,1860632700,55.1,21.46,-30.5
2006-06-15,5506.7998,5636.7998,5506.7998,5619.2998,1917016000,61.8,15.9,-0.1
2006-06-16,5619.2998,5701.5,5594.2998,5597.3999,2134808800,60.4,17.25,-31.1
2006-06-19,5597.3999,5665.7002,5597.3999,5626.1001,1153580500,60.5,17.83,-23.6
2006-06-20,5626.1001,5658.2002,5585.0,5658.2002,1352420400,62.0,16.69,2.7
2006-06-21,5658.2002,5673.5,5610.7998,5665.0,1642751600,63.0,15.52,-1.8
2006-06-22,5665.0,5736.7998,5657.2002,5684.1001,1611284700,63.1,15.88,18.2
2006-06-23,5684.1001,5716.7002,5667.7998,5692.1001,1145495400,61.7,15.89,5.8
2006-06-26,5692.1001,5716.5,5677.5,5681.2002,1614543600,63.3,15.62,10.7
2006-06-27,5681.2002,5729.7998,5650.0,5652.2998,1337754600,60.6,16.4,18.5
2006-06-28,5652.2998,5702.8999,5633.7998,5678.6001,1267809200,66.1,15.79,30.5
2006-06-29,5678.6001,5791.7002,5678.6001,5791.5,1502990800,70.9,13.03,38.6
2006-06-30,5791.5,5865.7002,5791.5,5833.3999,1583755700,73.5,13.08,37.7
2006-07-03,5833.3999,5884.3999,5833.3999,5884.3999,1194578600,79.3,13.05,41.4
2006-07-04,5884.3999,5884.5,5848.2998,5883.5,863784800,79.7,13.05,35.8
2006-07-05,5883.5,5883.5,5815.7002,5826.7002,1138260700,73.2,14.15,21.3
2006-07-06,5826.7002,5897.1001,5826.7002,5890.0,1312357700,76.8,13.65,34.6
2006-07-07,5890.0,5908.5,5858.3999,5888.8999,1424761300,75.9,13.97,29.8
2006-07-10,5888.8999,5901.0,5856.5,5896.8999,880029700,75.5,14.02,34.0
2006-07-11,5896.8999,5896.8999,5844.0,5857.2998,1162635600,73.2,13.14,36.2
2006-07-12,5857.2998,5899.2998,5842.7002,5860.6001,1212976000,71.8,14.49,23.4
2006-07-13,5860.6001,5860.6001,5751.8999,5765.0,1515312800,63.4,17.79,-17.3
2006-07-14,5765.0,5765.0,5707.6001,5707.6001,1305352000,60.7,18.05,-20.4
2006-07-17,5707.6001,5721.1001,5654.6001,5701.0,1366791300,60.7,18.64,-30.4
2006-07-18,5701.0,5712.6001,5658.2998,5681.7002,1439567000,59.8,17.74,-27.3
2006-07-19,5681.7002,5785.2998,5680.7998,5778.0,1665784300,63.0,15.55,1.2
2006-07-20,5778.0,5819.7002,5756.3999,5770.8999,1308633800,60.9,16.21,-20.8
2006-07-21,5770.8999,5770.8999,5700.7002,5719.7002,1594082200,55.8,17.4,-30.6
2006-07-24,5719.7002,5835.2002,5719.7002,5833.8999,1298199500,63.7,14.98,0.1
2006-07-25,5833.8999,5872.7998,5825.7998,5851.2002,1547468300,66.0,14.85,-0.4
2006-07-26,5851.2002,5878.7002,5851.2002,5877.1001,1720193800,65.6,14.62,3.5
2006-07-27,5877.1001,5936.7998,5877.1001,5929.5,1583646500,67.7,14.94,24.4
2006-07-28,5929.5,5982.5,5904.7002,5974.8999,1401927100,69.8,14.33,44.6
2006-07-31,5974.8999,5977.2002,5928.2998,5928.2998,1272181900,68.1,14.95,33.4
2006-08-01,5928.2998,5949.7998,5867.3999,5880.7998,1278757500,65.7,15.05,31.1
2006-08-02,5880.7998,5932.1001,5880.7998,5932.1001,1329175600,70.7,14.34,26.8
2006-08-03,5932.1001,5940.7002,5827.1001,5838.3999,1803150700,67.7,14.46,10.0
2006-08-04,5838.3999,5893.2998,5836.5,5889.3999,1497892100,69.8,14.34,27.2
2006-08-07,5889.3999,5889.3999,5820.8999,5828.7998,945153100,66.8,15.23,-4.3
2006-08-08,5828.7998,5866.6001,5818.1001,5818.1001,1551879300,64.5,15.23,-5.1
2006-08-09,5818.1001,5865.8999,5778.2002,5860.5,1440463500,66.4,15.2,-2.4
2006-08-10,5860.5,5860.5,5752.6001,5823.3999,1763427300,66.5,14.46,-13.1
2006-08-11,5823.3999,5848.2002,5797.0,5820.1001,1397317200,63.9,14.3,-22.7
2006-08-14,5820.1001,5870.8999,5820.1001,5870.8999,1029687400,65.8,14.26,-8.6
2006-08-15,5870.8999,5903.2002,5845.0,5897.8999,1340987100,67.0,13.42,6.0
2006-08-16,5897.8999,5902.7998,5848.7002,5896.6001,1734087000,66.3,12.41,-1.3
2006-08-17,5896.6001,5915.0,5888.7998,5900.3999,1391457700,65.2,12.24,10.2
2006-08-18,5900.3999,5932.5,5900.2002,5903.3999,1492403700,66.8,11.64,4.5
2006-08-21,5903.3999,5936.6001,5883.7998,5915.2002,978830000,68.7,12.22,11.0
2006-08-22,5915.2002,5939.2002,5878.3999,5902.6001,1154758400,66.2,12.19,13.2
2006-08-23,5902.6001,5906.2998,5853.7998,5860.0,1165203300,67.1,12.4,-0.9
2006-08-24,5860.0,5892.2998,5832.5,5869.1001,1211904500,65.4,12.4,7.1
2006-08-25,5869.1001,5893.6001,5858.6001,5878.6001,1044447700,69.5,12.31,9.4
2006-08-29,5878.6001,5921.2998,5878.6001,5888.2998,1366248600,70.8,12.28,2.8
2006-08-30,5888.2998,5945.2998,5888.2002,5929.2998,1477304600,71.6,12.22,5.0
2006-08-31,5929.2998,5937.0,5895.0,5906.1001,1386764600,72.1,12.31,1.1
2006-09-01,5906.1001,5967.7002,5906.1001,5949.2002,1146154600,74.9,11.96,8.8
