date,open,high,low,close,volume,fear_greed,vix,sentiment
2006-06-05,1288.16003,1288.16003,1264.66003,1265.29004,2313470000,61.4,16.65,0.0
2006-06-06,1265.22998,1269.88,1254.45996,1263.84998,2697650000,60.8,17.34,-3.8
2006-06-07,1263.60999,1272.46997,1255.77002,1256.15002,2644170000,59.9,17.8,-8.3
2006-06-08,1256.07996,1259.84998,1235.18005,1257.93005,3543790000,59.8,18.35,-7.4
2006-06-09,1257.93005,1262.57996,1250.03003,1252.30005,2214000000,59.6,18.12,-8.3
2006-06-12,1252.27002,1255.21997,1236.43005,1237.43994,2247010000,56.3,20.96,-31.2
2006-06-13,1236.07996,1243.37,1222.52002,1223.68994,3215770000,53.2,23.81,-41.0
2006-06-14,1223.66003,1231.45996,1219.29004,1230.04004,2667990000,55.9,21.46,-15.7
2006-06-15,1230.01001,1258.64001,1230.01001,1256.16003,2775480000,62.6,15.9,15.7
2006-06-16,1256.16003,1256.27002,1246.32996,1251.54004,2783390000,61.1,17.25,-15.2
2006-06-19,1251.54004,1255.93005,1237.17004,1240.13,2517200000,59.6,17.83,-20.2
2006-06-20,1240.12,1249.01001,1238.87,1240.12,2232950000,60.6,16.69,-12.3
2006-06-21,1240.08997,1257.95996,1240.08997,1252.19995,2361230000,62.6,15.52,1.8
2006-06-22,1251.92004,1251.92004,1241.53003,1245.59998,2148180000,61.7,15.88,-10.3
2006-06-23,1245.58997,1253.13,1241.43005,1244.5,2017270000,58.9,15.89,-5.6
2006-06-26,1244.5,1250.92004,1243.68005,1250.56006,1878580000,60.7,15.62,10.6
2006-06-27,1250.55005,1253.37,1238.93994,1239.19995,2203130000,58.7,16.4,8.3
2006-06-28,1238.98999,1247.06006,1237.58997,1246.0,2085490000,60.5,15.79,14.1
2006-06-29,1245.93994,1272.88,1245.93994,1272.87,2621250000,68.6,13.03,23.0
2006-06-30,1272.85999,1276.30005,1270.19995,1270.19995,3049560000,69.7,13.08,13.2
2006-07-03,1270.06006,1280.38,1270.06006,1280.18994,1114470000,73.4,13.05,29.2
2006-07-05,1280.05005,1280.05005,1265.91003,1270.91003,2165070000,69.7,14.15,17.9
2006-07-06,1270.57996,1278.31995,1270.57996,1274.07996,2009160000,68.1,13.65,17.7
2006-07-07,1274.07996,1275.38,1263.13,1265.47998,1988150000,66.4,13.97,13.1
2006-07-10,1265.45996,1274.06006,1264.45996,1267.33997,1854590000,68.5,14.02,16.3
2006-07-11,1267.26001,1273.64001,1259.65002,1272.43005,2310850000,70.1,13.14,19.3
2006-07-12,1272.39001,1273.31006,1257.29004,1258.59998,2250450000,64.3,14.49,8.7
2006-07-13,1258.57996,1258.57996,1241.43005,1242.28003,2545760000,58.9,17.79,-15.9
2006-07-14,1242.29004,1242.69995,1228.44995,1236.19995,2467120000,57.6,18.05,-27.0
2006-07-17,1236.19995,1240.06995,1231.48999,1234.48999,2146410000,56.1,18.64,-27.7
2006-07-18,1234.47998,1239.85999,1224.54004,1236.85999,2481750000,58.7,17.74,-26.9
2006-07-19,1236.73999,1261.81006,1236.73999,1259.81006,2701980000,64.5,15.55,0.9
2006-07-20,1259.81006,1262.56006,1249.13,1249.13,2345580000,58.3,16.21,-20.3
2006-07-21,1249.12,1250.95996,1238.71997,1240.29004,2704090000,55.9,17.4,-22.7
2006-07-24,1240.25,1262.5,1240.25,1260.91003,2312720000,61.3,14.98,5.1
2006-07-25,1260.91003,1272.39001,1257.18994,1268.88,2563930000,64.0,14.85,-2.0
2006-07-26,1268.87,1273.89001,1261.93994,1268.40002,2667710000,63.7,14.62,7.9
2006-07-27,1268.19995,1275.84998,1261.92004,1263.19995,2776710000,63.3,14.94,13.9
2006-07-28,1263.15002,1280.42004,1263.15002,1278.55005,2480420000,66.7,14.33,33.3
2006-07-31,1278.53003,1278.66003,1274.31006,1276.66003,2461300000,65.2,14.95,28.3
2006-08-01,1278.53003,1278.66003,1265.70996,1270.92004,2527690000,65.6,15.05,24.4
