date,open,high,low,close,volume,fear_greed,vix,sentiment
2010-01-01,1096.09,1096.36,1095.86,1096.36,13.21,0.0,0.0,0.0
2010-01-02,1096.16,1096.28,1095.88,1096.18,6.88,0.0,0.0,0.0
2010-01-03,1096.07,1099.91,1095.40,1095.40,5.18,0.0,0.0,0.0
2010-01-04,1094.35,1123.30,1092.99,1120.42,15.98,0.0,0.0,0.0
2010-01-05,1120.85,1127.53,1114.86,1118.25,17.53,0.0,0.0,0.0
2010-01-06,1118.10,1140.02,1116.62,1135.95,16.94,0.0,0.0,0.0
2010-01-07,1135.35,1137.95,1126.66,1126.66,17.19,0.0,0.0,0.0
2010-01-08,1126.95,1138.42,1119.29,1137.37,683.55,0.0,0.0,0.0
2010-01-09,1137.19,1137.26,1136.89,1137.09,5.85,0.0,0.0,0.0
2010-01-10,1136.53,1156.54,1136.44,1153.50,4.55,0.0,0.0,0.0
2010-01-11,1153.16,1160.95,1149.01,1149.42,15.89,0.0,0.0,0.0
2010-01-12,1148.76,1157.60,1125.45,1129.84,17.24,0.0,0.0,0.0
2010-01-13,1129.74,1139.26,1119.24,1137.89,16.71,0.0,0.0,0.0
2010-01-14,1138.32,1145.59,1130.44,1142.78,17.11,0.0,0.0,0.0
2010-01-15,1142.87,1145.09,1126.83,1129.90,309.65,0.0,0.0,0.0
2010-01-16,1129.62,1129.82,1129.42,1129.72,7.16,0.0,0.0,0.0
2010-01-17,1129.62,1133.00,1126.64,1132.02,5.54,0.0,0.0,0.0
2010-01-18,1132.01,1136.86,1128.80,1135.38,15.49,0.0,0.0,0.0
2010-01-19,1135.42,1140.02,1128.28,1137.94,17.97,0.0,0.0,0.0
2010-01-20,1138.83,1141.06,1106.99,1114.88,17.43,0.0,0.0,0.0
2010-01-21,1114.98,1117.20,1089.16,1094.31,17.70,0.0,0.0,0.0
2010-01-22,1094.23,1098.20,1081.87,1092.20,896.10,0.0,0.0,0.0
2010-01-23,1091.92,1092.12,1091.72,1091.92,6.25,0.0,0.0,0.0
2010-01-24,1092.23,1097.53,1089.49,1095.02,5.25,0.0,0.0,0.0
2010-01-25,1094.63,1103.65,1092.37,1099.92,16.43,0.0,0.0,0.0
2010-01-26,1100.44,1102.97,1085.54,1099.34,17.67,0.0,0.0,0.0
2010-01-27,1099.28,1101.85,1083.01,1089.06,17.25,0.0,0.0,0.0
2010-01-28,1089.12,1095.43,1074.11,1085.55,17.78,0.0,0.0,0.0
2010-01-29,1085.48,1089.26,1074.15,1080.47,27.60,0.0,0.0,0.0
2010-01-30,1080.50,1080.67,1080.27,1080.57,7.77,0.0,0.0,0.0
2010-01-31,1080.53,1083.37,1078.69,1083.37,5.56,0.0,0.0,0.0
2010-02-01,1083.05,1107.08,1076.05,1103.85,16.72,0.0,0.0,0.0
2010-02-02,1103.77,1117.68,1098.55,1114.68,18.28,0.0,0.0,0.0
2010-02-03,1115.12,1124.25,1106.78,1108.66,17.62,0.0,0.0,0.0
2010-02-04,1108.51,1110.44,1059.33,1064.24,17.88,0.0,0.0,0.0
2010-02-05,1064.29,1068.21,1044.70,1065.80,1633.98,0.0,0.0,0.0
